label,auc,t,p,p_one,T
상대강도 제외 · 2개월 · 깊이2,0.5240075204923631,2.4948339840098948,0.02037,0.010099999999999998,2580
모멘텀 제외 · 2개월 · 깊이2,0.5243809260435633,2.4500429083340824,0.02249,0.011159999999999948,2575
전체 지표 · 2개월 · 깊이2,0.5219286911813786,2.3530349632000944,0.02798,0.013789999999999969,2580
상대강도 제외 · 3개월 · 깊이2,0.5306776226244164,2.3920409446237434,0.03124,0.01539999999999997,2503
모멘텀 제외 · 2개월 · 깊이3,0.5219407911268207,2.2966850823774476,0.0314,0.015510000000000024,2575
모멘텀 제외 · 2개월 · 잎20,0.5219414613292673,2.296780085730479,0.0314,0.015510000000000024,2575
모멘텀 제외 · 3개월 · 깊이2,0.5310957121221214,2.3789017988227816,0.03203,0.015739999999999976,2497
상대강도 제외 · 2개월 · 잎20,0.5214636394210175,2.24936904405337,0.03477,0.017260000000000053,2580
상대강도 제외 · 2개월 · 깊이3,0.5214462219604267,2.2471050877275203,0.03492,0.017329999999999957,2580
전체 지표 · 3개월 · 깊이2,0.5292451945322652,2.327053586331255,0.03593,0.01763999999999999,2503
상대강도 제외 · 3개월 · 잎20,0.5308014410826832,2.318520926500266,0.03653,0.01793,2503
상대강도 제외 · 3개월 · 깊이3,0.5308013954071693,2.3186224024126827,0.03653,0.01793,2503
전체 지표 · 2개월 · 깊이5,0.5186451197196108,2.2132273163818748,0.03747,0.018399999999999972,2580
모멘텀 제외 · 3개월 · 잎20,0.5307738411797934,2.2996863599191704,0.03779,0.018449999999999966,2497
모멘텀 제외 · 3개월 · 깊이3,0.5307672414623181,2.2988725612262404,0.03785,0.018469999999999986,2497
전체 지표 · 2개월 · 깊이3,0.5199118769869102,2.1533051188014776,0.04238,0.020769999999999955,2580
전체 지표 · 2개월 · 잎20,0.519876637449415,2.150311157191769,0.04265,0.02092000000000005,2580
모멘텀 제외 · 3개월 · 깊이5,0.5287911697762487,2.223893892060484,0.04346,0.02120999999999995,2497
전체 지표 · 3개월 · 깊이5,0.5276423780103546,2.1987368331296047,0.04569,0.022279999999999966,2503
상대강도 제외 · 3개월 · 깊이5,0.5283419990478716,2.1962517980093628,0.04592,0.022379999999999955,2503
모멘텀 제외 · 2개월 · 깊이5,0.5184385690158595,2.0937697780165103,0.04839,0.023660000000000014,2575
전체 지표 · 3개월 · 깊이3,0.5276288998774061,2.1638948155283053,0.04893,0.023970000000000047,2503
전체 지표 · 3개월 · 잎20,0.5276214988994117,2.1636713645934242,0.04894,0.02398,2503
전체 지표 · 1개월 · 깊이5,0.5096869589156402,2.0107305440148977,0.05006,0.024580000000000046,2656
상대강도 제외 · 2개월 · 깊이5,0.5185086956158246,2.0691728602696076,0.05086,0.024959999999999982,2580
변동성 제외 · 1개월 · 깊이2,0.506037346675953,1.9558397692715304,0.05648,0.027649999999999952,2654
모멘텀 제외 · 1개월 · 깊이2,0.5143435648496958,1.9225736555396828,0.06079,0.029859999999999998,2654
상대강도 제외 · 1개월 · 깊이5,0.5100885882468743,1.9089900417116594,0.06264,0.03080000000000005,2656
상대강도 제외 · 1개월 · 깊이2,0.5132814165961085,1.8742729122646478,0.06752,0.03305999999999998,2656
모멘텀 제외 · 1개월 · 깊이5,0.5098479545751108,1.8638566253132869,0.069,0.03386,2654
전체 지표 · 1개월 · 깊이2,0.5127272869778061,1.8449013576612256,0.0718,0.03525999999999996,2656
상대강도 제외 · 1개월 · 깊이3,0.5113329760924423,1.8309531008949205,0.07403,0.03646000000000005,2656
상대강도 제외 · 1개월 · 잎20,0.5113122176073022,1.8285073116057333,0.07444,0.03666999999999998,2656
모멘텀 제외 · 1개월 · 잎20,0.5115636177192734,1.8130151387020257,0.07693,0.037959999999999994,2654
모멘텀 제외 · 1개월 · 깊이3,0.51156414530362,1.8094086641073428,0.07743,0.038189999999999946,2654
변동성 제외 · 1개월 · 깊이5,0.5036048627643736,1.722622280612663,0.09298,0.04574,2654
전체 지표 · 1개월 · 깊이3,0.5106945676684813,1.711493078920772,0.09514,0.046740000000000004,2656
전체 지표 · 1개월 · 잎20,0.5106855965130411,1.7105306936011695,0.09532,0.04681999999999997,2656
변동성 제외 · 2개월 · 깊이2,0.5062976766563,1.7257093844961655,0.10121,0.04971000000000003,2575
변동성 제외 · 1개월 · 잎20,0.5041068819435417,1.4957752984176975,0.1441,0.07120000000000004,2654
변동성 제외 · 1개월 · 깊이3,0.5041063821827699,1.4955637546237268,0.14416,0.07123000000000002,2654
변동성 제외 · 2개월 · 깊이5,0.5042380228145343,1.2966319726353315,0.21388,0.10563999999999996,2575
변동성 제외 · 3개월 · 깊이2,0.5034659009398357,0.7974748597957119,0.45233,0.22529,2497
변동성 제외 · 3개월 · 깊이5,0.5018915291187379,0.470346793441653,0.65549,0.32772,2497
변동성 제외 · 2개월 · 잎20,0.5018404867465093,0.3645853813087178,0.72472,0.36275,2575
변동성 제외 · 2개월 · 깊이3,0.5018338641937722,0.36351631122017003,0.72536,0.36302999999999996,2575
변동성 제외 · 3개월 · 잎20,0.49926817710174504,-0.13783864576906882,0.89518,0.55164,2497
변동성 제외 · 3개월 · 깊이3,0.4992682586620936,-0.13782297125796572,0.89519,0.5516300000000001,2497
