ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
AABA,1445,0,0.0,,,2011-09-21,2017-06-16,가격 없음
AAL,2394,2392,0.9991645781119465,2011-09-21,2026-09-21,2015-03-23,2024-09-20,복원
AAP,2048,2047,0.99951171875,2011-09-21,2026-09-21,2015-07-09,2023-08-24,복원
ABC,3005,0,0.0,,,2011-09-21,2023-08-29,가격 없음
ABMD,1150,0,0.0,,,2018-05-31,2022-12-21,가격 없음
ADS,1635,0,0.0,,,2013-12-23,2020-06-19,가격 없음
ADT,900,0,0.0,2018-01-19,2026-09-21,2012-10-02,2016-04-29,재사용 의심
AET,1811,0,0.0,,,2011-09-21,2018-11-28,가격 없음
AGN,2174,0,0.0,,,2011-09-21,2020-05-11,가격 없음
AIV,2329,2328,0.9995706311721769,2011-09-21,2026-09-21,2011-09-21,2020-12-18,복원
AKS,62,0,0.0,,,2011-09-21,2011-12-16,가격 없음
ALK,1913,1912,0.9994772608468374,2011-09-21,2026-09-21,2016-05-13,2023-12-15,복원
ALTR,1073,0,0.0,,,2011-09-21,2015-12-24,가격 없음
ALXN,2303,0,0.0,,,2012-05-25,2021-07-20,가격 없음
AMG,1381,1380,0.999275887038378,2011-09-21,2026-09-21,2014-07-01,2019-12-20,복원
AMTM,59,59,1.0,2024-09-24,2026-09-21,2024-09-30,2024-12-20,복원
AN,1480,1479,0.9993243243243243,2011-09-21,2026-09-21,2011-09-21,2017-08-07,복원
ANDV,1769,0,0.0,,,2011-09-21,2018-09-28,가격 없음
ANF,567,567,1.0,2011-09-21,2026-09-21,2011-09-21,2013-12-20,복원
ANRZQ,260,0,0.0,,,2011-09-21,2012-10-01,가격 없음
ANSS,2035,0,0.0,,,2017-06-19,2025-07-17,가격 없음
ANTM,2710,0,0.0,,,2011-09-21,2022-06-27,가격 없음
APC,1984,0,0.0,2026-02-12,2026-09-21,2011-09-21,2019-08-08,재사용 의심
APOL,445,0,0.0,,,2011-09-21,2013-06-28,가격 없음
ARG,1175,0,0.0,,,2011-09-21,2016-05-20,가격 없음
ARNC,2149,0,0.0,,,2011-09-21,2020-04-03,가격 없음
ATGE,259,0,0.0,,,2011-09-21,2012-09-28,가격 없음
ATI,950,950,1.0,2011-09-21,2026-09-21,2011-09-21,2015-07-01,복원
ATVI,2048,0,0.0,,,2015-08-31,2023-10-17,가격 없음
AVB,3753,22,0.005861977084998668,2026-07-17,2026-08-24,2011-09-21,2026-08-17,부분 복원
AVP,879,0,0.0,,,2011-09-21,2015-03-20,가격 없음
AYI,535,535,1.0,2011-09-21,2026-09-21,2016-05-03,2018-06-15,복원
BBBY,1471,0,0.0,2026-07-17,2026-09-21,2011-09-21,2017-07-25,재사용 의심
BBT,2068,2067,0.9995164410058027,2011-09-21,2026-09-21,2011-09-21,2019-12-06,복원
BBWI,796,795,0.9987437185929648,2011-09-21,2026-09-21,2021-08-03,2024-09-30,복원
BCR,1580,0,0.0,,,2011-09-21,2017-12-28,가격 없음
BEAM,655,0,0.0,2020-02-06,2026-09-21,2011-09-21,2014-04-30,재사용 의심
BHF,415,415,1.0,2017-07-17,2026-09-21,2017-08-07,2019-04-01,복원
BHGE,2033,0,0.0,,,2011-09-21,2019-10-17,가격 없음
BIG,351,0,0.0,,,2011-09-21,2013-02-13,가격 없음
BIO,1071,1070,0.9990662931839402,2011-09-21,2026-09-21,2020-06-22,2024-09-20,복원
BK,3692,0,0.0,,,2011-09-21,2026-05-20,가격 없음
BLL,2677,0,0.0,,,2011-09-21,2022-05-09,가격 없음
BMC,495,0,0.0,,,2011-09-21,2013-09-10,가격 없음
BMS,807,0,0.0,,,2011-09-21,2014-12-04,가격 없음
BRCM,1097,0,0.0,,,2011-09-21,2016-01-29,가격 없음
BTUUQ,754,0,0.0,,,2011-09-21,2014-09-19,가격 없음
BWA,3336,3333,0.9991007194244604,2011-09-21,2026-09-21,2011-12-19,2025-03-21,복원
BXLT,234,0,0.0,,,2015-07-01,2016-06-02,가격 없음
CA,1795,0,0.0,,,2011-09-21,2018-11-05,가격 없음
CAG,3719,3713,0.9983866630814735,2011-09-21,2026-09-21,2011-09-21,2026-06-29,복원
CAM,1140,0,0.0,2025-10-06,2026-09-21,2011-09-21,2016-04-01,재사용 의심
CBE,256,0,0.0,,,2011-11-23,2012-11-30,가격 없음
CBS,2066,0,0.0,,,2011-09-21,2019-12-04,가격 없음
CCE,1180,0,0.0,,,2011-09-21,2016-05-27,가격 없음
CCEP,103,102,0.9902912621359223,2011-09-21,2026-09-21,2016-01-04,2016-05-27,복원
CDAY,596,0,0.0,,,2021-09-20,2024-01-31,가격 없음
CE,1571,1569,0.9987269255251432,2011-09-21,2026-09-21,2018-12-24,2025-03-21,복원
CELG,2057,0,0.0,,,2011-09-21,2019-11-20,가격 없음
CEPH,17,0,0.0,,,2011-09-21,2011-10-13,가격 없음
CERN,2697,0,0.0,,,2011-09-21,2022-06-07,가격 없음
CFN,875,0,0.0,,,2011-09-21,2015-03-16,가격 없음
CHK,1633,0,0.0,,,2011-09-21,2018-03-16,가격 없음
CLF,635,635,1.0,2011-09-21,2026-09-21,2011-09-21,2014-04-01,복원
