사례,설정,검정,오탐,반복,오탐률(%),CI하한(%),CI상한(%)
횡단면 종속성,날짜3·sd0.35,행 수 기반(기존),355,1000,35.5,32.5,38.6
횡단면 종속성,날짜3·sd0.35,Fama-MacBeth,53,1000,5.3,4.0,6.9
겹치는 예측구간,날짜260·h20,iid,339,1000,33.9,31.0,36.9
겹치는 예측구간,날짜260·h20,Newey-West,100,1000,10.0,8.2,12.0
겹치는 예측구간,날짜260·h20,NW lag=3h + fixed-b,62,1000,6.2,4.8,7.9
횡단면 종속성(민감도),날짜3·sd0.0,행 수 기반(기존),58,1000,5.8,4.4,7.4
횡단면 종속성(민감도),날짜3·sd0.0,Fama-MacBeth,59,1000,5.9,4.5,7.5
횡단면 종속성(민감도),날짜3·sd0.1,행 수 기반(기존),147,1000,14.7,12.6,17.0
횡단면 종속성(민감도),날짜3·sd0.1,Fama-MacBeth,44,1000,4.4,3.2,5.9
횡단면 종속성(민감도),날짜3·sd0.2,행 수 기반(기존),278,1000,27.8,25.0,30.7
횡단면 종속성(민감도),날짜3·sd0.2,Fama-MacBeth,59,1000,5.9,4.5,7.5
횡단면 종속성(민감도),날짜3·sd0.35,행 수 기반(기존),355,1000,35.5,32.5,38.6
횡단면 종속성(민감도),날짜3·sd0.35,Fama-MacBeth,53,1000,5.3,4.0,6.9
횡단면 종속성(민감도),날짜3·sd0.5,행 수 기반(기존),385,1000,38.5,35.5,41.6
횡단면 종속성(민감도),날짜3·sd0.5,Fama-MacBeth,55,1000,5.5,4.2,7.1
횡단면 종속성(민감도),날짜10·sd0.0,행 수 기반(기존),46,1000,4.6,3.4,6.1
횡단면 종속성(민감도),날짜10·sd0.0,Fama-MacBeth,42,1000,4.2,3.0,5.6
횡단면 종속성(민감도),날짜10·sd0.1,행 수 기반(기존),145,1000,14.5,12.4,16.8
횡단면 종속성(민감도),날짜10·sd0.1,Fama-MacBeth,35,1000,3.5,2.4,4.8
횡단면 종속성(민감도),날짜10·sd0.2,행 수 기반(기존),261,1000,26.1,23.4,28.9
횡단면 종속성(민감도),날짜10·sd0.2,Fama-MacBeth,43,1000,4.3,3.1,5.7
횡단면 종속성(민감도),날짜10·sd0.35,행 수 기반(기존),341,1000,34.1,31.2,37.1
횡단면 종속성(민감도),날짜10·sd0.35,Fama-MacBeth,43,1000,4.3,3.1,5.7
횡단면 종속성(민감도),날짜10·sd0.5,행 수 기반(기존),385,1000,38.5,35.5,41.6
횡단면 종속성(민감도),날짜10·sd0.5,Fama-MacBeth,44,1000,4.4,3.2,5.9
횡단면 종속성(민감도),날짜30·sd0.0,행 수 기반(기존),52,1000,5.2,3.9,6.8
횡단면 종속성(민감도),날짜30·sd0.0,Fama-MacBeth,53,1000,5.3,4.0,6.9
횡단면 종속성(민감도),날짜30·sd0.1,행 수 기반(기존),159,1000,15.9,13.7,18.3
횡단면 종속성(민감도),날짜30·sd0.1,Fama-MacBeth,52,1000,5.2,3.9,6.8
횡단면 종속성(민감도),날짜30·sd0.2,행 수 기반(기존),266,1000,26.6,23.9,29.5
횡단면 종속성(민감도),날짜30·sd0.2,Fama-MacBeth,53,1000,5.3,4.0,6.9
횡단면 종속성(민감도),날짜30·sd0.35,행 수 기반(기존),338,1000,33.8,30.9,36.8
횡단면 종속성(민감도),날짜30·sd0.35,Fama-MacBeth,49,1000,4.9,3.6,6.4
횡단면 종속성(민감도),날짜30·sd0.5,행 수 기반(기존),369,1000,36.9,33.9,40.0
횡단면 종속성(민감도),날짜30·sd0.5,Fama-MacBeth,52,1000,5.2,3.9,6.8
실제 규모 겹침,날짜2742·h21,iid (겹침 무시),205,600,34.2,30.4,38.1
실제 규모 겹침,날짜2742·h21,"NW lag=h, t분포 (구 기본값)",52,600,8.7,6.5,11.2
실제 규모 겹침,날짜2742·h21,"NW lag=2h, t분포",40,600,6.7,4.8,9.0
실제 규모 겹침,날짜2742·h21,"NW lag=3h, t분포",38,600,6.3,4.5,8.6
실제 규모 겹침,날짜2742·h21,"NW lag=h, fixed-b",52,600,8.7,6.5,11.2
실제 규모 겹침,날짜2742·h21,"NW lag=3h, fixed-b (신 기본값)",34,600,5.7,4.0,7.8
